Name,Low,High,Mode,Notes
160M Ham,1800000,2000000,LSB,Amateur Radio
80M Ham,3500000,4000000,LSB,Amateur Radio
60M Ham,5330500,5403500,LSB,Amateur Radio
40M Ham,7000000,7300000,LSB,Amateur Radio
30M Ham,10100000,10150000,CWU,Amateur Radio
20M Ham,14000000,14350000,USB,Amateur Radio
17M Ham,18068000,18168000,USB,Amateur Radio
15M Ham,21000000,21450000,USB,Amateur Radio
12M Ham,24890000,24990000,USB,Amateur Radio
10M Ham,28000000,29700000,USB,Amateur Radio
6M Ham,50000000,54000000,USB,Amateur Radio
2M Ham,144000000,148000000,FM,Amateur Radio
222 Ham,222000000,225000000,FM,Amateur Radio
440 Ham,420000000,450000000,FM,Amateur Radio
WWV1,2500000,0,AM
WWV2,5000000,0,AM
WWV3,10000000,0,AM
WWV4,15000000,0,AM
WWV5,20000000,0,AM
11M SW,25670000,26100000,AM
13M SW,21450000,21850000,AM
15M SW,18900000,19020000,AM
16M SW,17480000,17900000,AM
19M SW,15000000,15825000,AM
22M SW,13570000,13870000,AM
25M SW,11500000,12160000,AM
31M SW,9250000,9995000,AM
41M SW,7100000,7500000,AM
49M SW,5800000,6300000,AM
60M SW,4400000,5100000,AM
75M SW,3900000,4050000,AM
90M SW,3200000,3400000,AM
120M SW,2300000,2495000,AM
CB,26965000,27185000,AM
AM,535000,1700000,AM
LF1,160000,190000,AM,Unlicensed
LF2,148500,283500,AM,Longwave broadcasting
LF Ham,135700,137800,CWL,Amateur Radio
Radio Swaziland,3223000    
Radio Mozambique,3265000    
Radio Guatemala City,3300000 
Radio Iris Esmeraldas,3380000 
FR3 Cayenne,3285000 
Radio Kaduna,3396000   
Radio Bertoua,4750000   
Imo Regional,4755000   
Radio-TV Gabon,4777000 
Radio Nueva America,4795000 
Radio Paz y Bien,4820000 
Radio Reloj,4832000 
Radio Clube do Para Belem,4855000  
National Broadcasting Commission Papua,4890000    
Voice Kenya Nairobi,4915000   
Australian Broadcasting Commission,4920000   
Radio Colosal Neiva,4945000 
Radio Santa Fe Bogota,4965000 
Ecos del Torbes,4980000 
Solomon Islands Broadcasting Service,5020000   
Radio Gjirokaster,5057000 
Guyana Broadcasting Service,5950000   
Radio Casino,5954000   
Radio Canada,5960000    
Radio RSA,5980000   
CFCX,6005000   
Radio Malaysia,6025000 
Radio Australia,6045000  
Nihon,6055000 
Radio Nacional Buenos Aires,6060000 
Radio Sutatenza,6075000 
Radio Luxembourg,6090000 
Polskie Radio,6095000  
Radio New Zealand,6105000 
Trans World Radio,7140000   
Radio Noumea,7170000 
Radio Noumea,7300000  
Radio Cairo,9475000   
Voice of Greece,9515000   
Radio Korea,9525000 
Spanish Foreign Radio,9530000   
Swiss Radio,9535000 
Radio Prague,9540000   
Radio Bucharest,9570000  
Italian Radio,9575000 
Radio-TV Algeria,9610000 
Radio Berlin,9620000 
Radio Norway,9645000  
Radio Iran,9720000 
HCJB,9745000  
Austrian Radio,9770000 
Radio Kiev,9800000  
Radio Budapest,9835000   
Voice of Vietnam,10040000  
Israel Radio,11655000  
Radio Kuwait,11690000  
Radio Sweden,11705000   
Radio Moscow,11720000   
Radio Sofia,11725000   
Voice of Free China,11745000 
Radio Japan,11815000   
Radio Tahiti,11825000 
4VEH,11835000 
Radio Canada,11845000 
Deutsche Welle,11850000  
Voice of Chile,11890000   
Radio RSA,11900000 
BBC,11910000  
Radio Havana,11930000   
Radio Portugal,11935000   
Radio Beijing,11945000  
Voice of Turkey,11955000  
Radio Moscow,11980000  
Saudi Arabian,15038000 
Voice of Iran,15084000 
Radio Moscow,15135000   
HCJB,15165000  
ORU,15190000 
All India Radio,15205000 
BBC,15260000  
Finnish Radio,15265000   
Radio Sweden,15275000  
Swiss Radio,15305000 
Radio Japan,15310000  
Radio Australia,15320000    
BBC,14400000   
Radio Mexico,15430000 
Radio Pakistan,15465000 
Radio France,17720000   
Vatican Radio,17825000   
Austrian Radio,17860000 
Israel Radio,21495000  
Radio Australia,21525000 
Israel Radio,21625000   
Radio France,21645000 
Radio-TV Morocco,21735000
Radio RSA,25790000
